# time, vmax, integral, width, baseline, dt
0.058316,147.271423,6350.036621,60.772507,1.728571,0.000000
0.076205,122.971428,5778.666992,61.990303,2.028571,0.017889
0.297133,125.885712,6035.396973,62.811279,2.114286,0.220928
0.365814,150.642853,6384.105469,60.530357,2.357143,0.068681
0.417472,144.899994,6159.007324,57.338501,2.100000,0.051658
0.500790,133.285721,6142.510254,62.991661,1.714286,0.083318
0.857580,134.214279,6018.497559,62.572029,2.785714,0.356790
1.178670,153.042862,3435.776367,28.003502,1.957143,0.321090
1.220493,127.428574,5935.233398,62.049988,1.571429,0.041823
1.330391,152.314285,6515.847168,59.988327,1.685714,0.109898
1.357908,152.100006,5755.328125,50.200668,0.900000,0.027517
1.553616,146.600006,3172.384766,27.540001,2.400000,0.195708
1.759876,130.242859,6170.805664,62.875832,1.757143,0.206260
2.032276,120.742859,5713.155273,61.205330,2.257143,0.272400
2.042388,155.114288,3960.608643,32.995239,1.885714,0.010112
2.055714,147.185715,6414.005371,60.341339,1.814286,0.013326
2.073289,153.771423,6485.798828,59.159988,1.228571,0.017575
2.255128,153.657150,6371.874512,58.197334,2.342857,0.181839
2.358610,126.214287,5931.887695,62.068825,1.785714,0.103482
2.368137,152.757141,6338.120605,59.602386,2.242857,0.009527
2.789845,145.385712,3171.470459,29.109161,2.614286,0.421708
2.956046,149.300003,3800.995117,33.503334,2.700000,0.166201
3.153747,145.371429,3034.628418,26.968483,1.628571,0.197701
3.445135,147.699997,6121.180176,57.761658,2.300000,0.291388
3.544101,128.828568,5955.607910,62.304756,2.171429,0.098966
3.644705,151.128571,3947.377197,34.008263,1.871429,0.100604
3.665533,152.171432,3656.079346,32.247330,1.828571,0.020828
3.689755,127.000000,5858.907227,62.238091,2.000000,0.024222
4.298723,149.828568,6282.889160,60.303337,2.171429,0.608968
4.386847,130.285721,6025.701660,62.176620,1.714286,0.088124
4.699999,144.057144,2993.113281,27.007996,1.942857,0.313152
4.791130,151.428574,3336.139404,29.283333,1.571429,0.091131
4.816811,147.014282,3561.932617,32.707840,1.985714,0.025681
4.958409,160.171432,6484.844727,59.622856,1.828571,0.141598
5.151127,139.699997,2761.562988,25.476212,2.300000,0.192718
5.477906,157.800003,3949.519775,33.112045,1.200000,0.326779
5.781863,122.071426,5787.285645,61.167282,1.928571,0.303957
5.819128,145.942856,6228.456543,60.495003,3.057143,0.037265
5.961669,151.871429,6391.623047,60.137863,3.128572,0.142541
6.176672,154.385712,6505.287598,59.605141,1.614286,0.215003
6.502616,151.857147,6415.048340,59.853325,2.142857,0.325944
6.859853,151.657150,3163.561768,27.660004,2.342857,0.357237
6.867170,134.842850,2717.948730,26.133461,1.157143,0.007318
7.049199,148.671432,6283.204102,59.670586,0.328571,0.182029
7.262077,154.257141,6417.616699,60.362007,1.742857,0.212878
7.353163,145.685715,2908.326416,26.584084,2.314286,0.091085
7.371239,152.585709,6370.011719,59.969704,2.414286,0.018076
7.601834,135.285721,6020.751465,61.785896,1.714286,0.230595
7.958325,154.042862,6384.887695,59.221420,1.957143,0.356491
8.003379,122.957146,5836.661621,62.440132,2.042857,0.045053
8.293457,143.171432,3033.536621,27.805000,1.828571,0.290078
8.816263,147.328568,6220.649414,59.985336,1.671429,0.522806
9.042891,106.000000,2092.875488,23.860001,2.000000,0.226627
9.124631,121.714287,5562.031738,59.873337,2.285714,0.081740
9.175760,151.199997,3877.114502,33.280006,1.800000,0.051129
9.227895,122.828568,5779.656738,62.177147,2.171429,0.052135
9.235038,151.642853,6364.159668,58.697395,2.357143,0.007143
9.571223,127.657143,5704.349121,61.385338,2.342857,0.336185
9.969136,146.085709,6412.304199,60.344528,1.914286,0.397913
10.049572,152.528564,6362.522949,59.109169,2.471429,0.080436
10.067147,141.728577,6114.284180,59.419777,2.271429,0.017575
10.423728,150.014282,5729.609375,50.287971,1.985714,0.356581
10.615756,151.199997,6310.707520,59.608566,1.800000,0.192028
10.782988,151.742859,6303.063965,59.979431,2.257143,0.167232
10.890292,147.842850,6372.954590,61.122498,2.157143,0.107305
10.937111,106.428574,4425.148926,51.312500,2.571429,0.046819
11.272491,155.828568,5521.782715,47.664375,2.171429,0.335381
11.315851,150.242859,6363.522949,61.008125,2.757143,0.043360
11.470616,146.800003,6414.395996,60.514290,2.200000,0.154765
11.546923,151.714279,6255.672852,58.346672,2.285714,0.076306
11.754795,156.814285,6236.339355,58.469040,2.185714,0.207872
11.922553,146.742859,6321.927734,60.838097,2.257143,0.167758
11.944109,155.771423,6404.559570,58.210670,2.228571,0.021556
11.950164,135.271423,2690.851074,26.345497,2.728571,0.006055
12.112418,148.857147,6338.915039,59.884850,2.142857,0.162254
12.940557,122.585716,5718.527832,60.462074,2.414286,0.828139
12.969775,164.000000,4442.595703,40.680389,2.000000,0.029218
13.471670,150.914291,5732.370605,50.008331,2.085714,0.501895
13.949203,145.671432,6346.219238,60.274834,2.328571,0.477533
14.167610,153.814285,5675.625000,50.870903,2.185714,0.218407
14.360778,153.871429,3698.044922,31.507004,2.128572,0.193168
14.367850,134.028564,5987.740234,62.136856,0.971429,0.007072
14.483635,150.414291,3033.273438,26.210663,1.585714,0.115785
14.847071,137.942856,6114.856445,61.595612,2.057143,0.363436
14.979204,150.928574,6438.765625,60.033577,2.071429,0.132133
15.330632,150.857147,6376.624023,59.840004,2.142857,0.351428
15.874852,117.228569,5570.824707,62.348328,3.771429,0.544220
16.143238,154.742859,5648.219238,48.796005,2.257143,0.268386
16.180487,147.028564,6358.520996,60.454773,1.971429,0.037249
16.238058,121.671432,2390.603516,24.740753,2.328571,0.057571
16.637568,150.528564,2961.020752,25.476074,2.471429,0.399509
