# time, vmax, integral, width, baseline, dt
0.036002,195.314285,6598.377930,45.506554,2.685714,0.000000
0.134979,192.685715,5769.281250,38.071106,2.314286,0.098977
0.176002,200.699997,6684.474609,44.769028,2.300000,0.041023
0.307383,178.000000,2886.965088,19.073326,2.000000,0.131381
1.212099,189.399994,6595.101562,45.567993,2.600000,0.904716
1.259949,197.057144,6770.913086,46.155823,1.942857,0.047850
1.410680,136.300003,2780.341309,24.485596,1.700000,0.150731
1.449379,197.514282,6633.698730,44.011032,2.485714,0.038699
1.508438,195.657150,7050.071289,48.571426,2.342857,0.059059
1.821162,200.085709,7066.371094,48.275742,2.914286,0.312724
1.834263,193.899994,6580.525391,44.863007,2.100000,0.013101
2.006099,197.399994,5956.395508,38.334465,2.600000,0.171836
2.153216,194.914291,6870.258301,46.044113,3.085714,0.147117
2.245833,194.457138,6855.550781,48.688332,2.542857,0.092617
2.278362,190.628571,6645.626953,45.269989,2.371428,0.032529
2.677502,190.742859,3801.881592,24.047562,2.257143,0.399140
2.973490,199.685715,6725.689941,44.876251,2.314286,0.295988
3.158535,197.842850,7134.976074,48.880135,2.157143,0.185045
3.399466,192.171432,7110.992676,49.985298,1.828571,0.240931
3.579816,142.557144,2859.167725,24.701424,2.442857,0.180350
3.599390,196.514282,6908.934082,47.648888,2.485714,0.019574
3.692746,192.600006,5755.274902,38.054375,3.400000,0.093356
4.468712,199.157150,6525.792480,44.413605,1.842857,0.775966
4.675967,190.471436,7001.128906,49.516541,2.528571,0.207255
4.846284,157.557144,3062.051758,24.554382,3.442857,0.170317
5.434302,195.942856,6667.441406,44.648933,3.057143,0.588018
5.463660,200.771423,6519.316406,43.011032,2.228571,0.029358
5.652247,198.142853,5576.046387,36.328102,1.857143,0.188587
5.661992,180.442856,3649.012939,26.564346,2.557143,0.009745
5.923867,194.557144,6608.412109,44.531670,2.442857,0.261875
5.935651,192.385712,6658.857910,45.021988,2.614286,0.011784
6.311871,133.657150,2745.436768,25.867188,2.342857,0.376220
6.425748,193.285721,6752.754395,45.103264,1.714286,0.113877
6.929759,127.871429,2527.980957,25.314659,2.128572,0.504011
7.166410,195.271423,6680.450195,44.670555,2.728571,0.236651
