# time, vmax, integral, width, baseline, dt
0.109609,220.942856,7018.176758,41.651924,2.057143,0.000000
0.196960,218.285721,6780.099609,39.746658,1.714286,0.087351
0.421992,216.671432,6691.963867,40.070892,2.328571,0.225032
0.651079,100.157143,2253.530029,25.362671,1.842857,0.229087
0.793333,222.242859,6508.290039,38.257072,2.757143,0.142254
1.364250,220.128571,6782.792480,41.768898,2.871428,0.570917
1.416049,215.714279,5793.498047,33.444443,2.285714,0.051799
1.439076,218.657150,7121.203613,42.887024,2.342857,0.023027
1.568330,218.100006,6644.378906,38.699142,2.900000,0.129254
1.787333,223.271423,7289.559082,42.754799,1.728571,0.219003
2.222251,220.000000,6622.322754,38.869049,3.000000,0.434918
2.401880,111.371429,1837.524414,19.212074,2.628572,0.179629
2.445841,122.185715,2284.099854,21.969254,2.814286,0.043961
2.450316,101.714287,2198.305664,24.620003,2.285714,0.004475
2.904016,213.442856,7138.468750,43.179451,2.557143,0.453700
3.125852,219.257141,7165.162109,42.330223,2.742857,0.221836
3.150626,217.800003,6708.643066,39.965553,2.200000,0.024774
3.347400,220.857147,6677.859863,38.618179,3.142857,0.196774
3.701733,216.871429,7146.605469,42.957016,2.128572,0.354333
3.720958,221.942856,6823.687012,39.726654,2.057143,0.019225
3.895728,114.900002,2450.892090,24.668694,3.100000,0.174770
3.898562,216.728577,7077.845703,42.033279,2.271429,0.002834
3.938595,215.714279,7125.923340,42.812866,2.285714,0.040033
4.204872,216.371429,7101.323730,42.708786,2.628572,0.266277
4.573391,214.742859,6715.025879,39.860748,3.257143,0.368519
4.609911,217.714279,7079.947754,42.166306,2.285714,0.036520
4.664819,219.685715,7122.502930,42.917274,2.314286,0.054908
4.712603,216.957138,6724.614746,39.238060,2.042857,0.047784
4.749969,216.271423,5691.176270,32.117729,1.728571,0.037366
4.954288,219.271423,6765.280273,39.200912,2.728571,0.204319
5.086271,106.928574,2204.251953,24.625000,3.071429,0.131983
5.101540,215.600006,7111.293945,42.542221,2.400000,0.015269
5.104101,218.842850,7103.779785,42.185112,2.157143,0.002561
5.174015,219.142853,6928.000488,41.628891,2.857143,0.069914
5.295719,219.257141,7016.289062,42.323395,2.742857,0.121704
5.337943,221.057144,7144.229980,42.815109,2.942857,0.042224
5.453572,150.428574,2993.996826,24.083328,2.571429,0.115629
5.790888,223.585709,6974.752441,40.542107,2.414286,0.337316
6.017573,216.214279,7074.907715,41.930046,1.785714,0.226686
6.217220,166.785721,3397.282227,25.588547,2.214286,0.199647
6.400409,137.300003,2865.344971,24.301056,1.700000,0.183189
6.420574,108.500000,2354.842773,25.167267,2.500000,0.020165
6.566042,217.928574,6679.530762,38.689201,3.071429,0.145468
6.675396,217.714279,6779.496582,39.427277,2.285714,0.109354
