# time, vmax, integral, width, baseline, dt
0.292995,95.099998,3859.080322,50.542328,1.900000,0.000000
0.661802,108.128571,5105.152832,61.924721,1.871429,0.368807
1.227229,102.771431,5124.277344,62.205551,2.228571,0.565427
1.375884,128.314285,5883.253906,61.710388,1.685714,0.148655
1.471720,140.642853,3014.172852,27.627495,2.357143,0.095836
1.491547,130.228577,5708.401367,60.551422,1.771429,0.019827
1.687569,125.271431,5765.284668,62.473457,1.728571,0.196022
1.740090,127.699997,5743.475586,61.477295,2.300000,0.052521
1.849018,130.571426,5661.658203,59.805138,2.428571,0.108928
1.856549,123.757141,5579.306152,60.445168,2.242857,0.007531
1.872486,148.871429,5687.356445,52.392822,2.128572,0.015937
1.961715,140.914291,2973.033447,28.546669,2.085714,0.089229
3.181208,139.571426,3364.755615,31.915001,1.428571,1.219493
3.308970,106.757141,5082.880859,61.423500,2.242857,0.127762
3.322523,146.514282,5554.409180,52.306664,2.485714,0.013553
3.341875,120.414284,5299.157227,56.787003,1.585714,0.019352
3.352540,130.428574,5657.910156,60.806152,1.571429,0.010665
3.550874,140.742859,5616.075684,53.784615,2.257143,0.198334
3.649406,127.199997,5622.281738,60.575279,1.800000,0.098532
3.804395,130.728577,5835.490234,60.706429,2.271429,0.154989
4.417674,103.742859,4977.448730,60.005547,2.257143,0.613279
4.718110,108.785713,5309.657227,62.939995,2.214286,0.300436
5.003339,128.871429,5592.593750,60.685234,2.128572,0.285229
5.106565,107.942856,5017.919922,61.431999,2.057143,0.103226
5.403168,134.714279,5822.792480,60.201294,2.285714,0.296603
5.491348,143.000000,3095.744141,27.866661,2.000000,0.088181
5.676118,103.742859,4961.521973,59.637329,2.257143,0.184770
6.517769,124.857140,5587.931152,60.933327,2.142857,0.841651
6.646265,123.914284,5681.030762,60.943001,2.085714,0.128496
6.717803,145.300003,3376.476807,29.901161,1.700000,0.071538
6.770292,146.242859,5656.152832,53.917023,1.757143,0.052489
7.053959,123.914284,5557.626465,61.706184,2.085714,0.283667
7.155684,127.328575,5771.475098,61.520164,1.671429,0.101725
7.493364,108.171425,5320.718262,61.427887,1.828571,0.337680
7.497051,105.842857,5201.555176,62.490669,2.157143,0.003687
8.015523,104.671432,5111.170898,62.241661,2.328571,0.518472
9.112260,102.057144,4734.035156,61.117332,5.942857,1.096737
9.132421,104.900002,5054.779785,61.629005,2.100000,0.020162
9.135228,104.028572,5136.415039,62.055115,1.971429,0.002807
9.227268,137.000000,3006.128174,29.369995,2.000000,0.092040
9.296696,126.699997,5627.335938,61.078835,2.300000,0.069427
9.336203,121.742859,5582.393066,61.991280,2.257143,0.039507
9.410892,111.971428,5170.954102,60.691002,2.028571,0.074690
9.665815,106.428574,4930.005859,58.349998,1.571429,0.254923
9.667498,137.371429,3197.522949,29.956665,2.628572,0.001682
9.705154,147.699997,3705.217041,32.589165,2.300000,0.037657
9.996508,110.757141,5068.373535,61.320435,2.242857,0.291353
10.177563,107.757141,5081.349609,61.429001,2.242857,0.181055
10.238118,144.685715,3848.850586,35.139084,2.314286,0.060555
10.263332,150.714279,3365.936035,28.261360,2.285714,0.025214
