# time, vmax, integral, width, baseline, dt
0.118953,209.985718,6714.578613,41.831657,2.014286,0.000000
0.338711,210.942856,7082.449707,45.180443,3.057143,0.219758
0.891941,209.571426,7077.419922,45.488892,3.428571,0.553230
0.997345,212.128571,7095.797852,44.880653,2.871428,0.105404
1.114624,208.614288,6655.658203,41.671669,3.385714,0.117279
2.022840,208.300003,6660.476074,41.748222,2.700000,0.908216
2.219946,209.728577,6675.811035,40.981529,3.271429,0.197106
2.254032,212.185715,6535.307617,40.977219,2.814286,0.034086
2.269692,204.957138,7065.247559,45.862633,4.042857,0.015660
2.287465,207.157150,7114.458984,45.225464,2.842857,0.017773
2.374041,123.642860,2486.043701,23.076920,2.357143,0.086576
2.595889,205.742859,7119.936523,45.432579,2.257143,0.221848
2.835154,107.599998,2336.320557,25.256622,3.400000,0.239265
2.860707,206.571426,5930.941406,35.572548,2.428571,0.025553
3.061891,208.657150,7143.238770,45.921288,3.342857,0.201184
3.153161,213.985718,6644.747559,40.978409,3.014286,0.091270
3.238219,207.600006,6765.481445,42.038673,2.400000,0.085058
3.598468,199.871429,6558.541992,42.651665,3.128572,0.360249
4.220316,203.428574,6713.084473,42.510582,2.571429,0.621848
4.350123,209.271423,7056.359863,44.613113,2.728571,0.129807
4.596616,206.885712,6537.603516,41.271996,3.114286,0.246493
4.972656,212.971436,6910.466797,43.823547,3.028571,0.376040
4.976969,206.728577,6731.047852,42.088219,3.271429,0.004313
5.017849,213.128571,7108.794434,45.351784,2.871428,0.040880
5.120061,202.371429,6782.729492,42.721115,1.628571,0.102212
5.167920,206.771423,7112.044922,45.850693,2.228571,0.047859
5.187088,205.871429,6565.814941,41.573883,3.128572,0.019168
5.213851,207.685715,6983.062012,44.797798,2.314286,0.026763
5.482478,207.685715,5867.124512,35.730003,3.314286,0.268627
5.660814,213.414291,6695.599609,41.582893,2.585714,0.178336
5.666329,153.157150,3028.015381,25.044998,3.842857,0.005515
5.809876,206.128571,6652.967773,41.799004,2.871428,0.143547
5.888893,120.900002,2445.057861,23.166283,3.100000,0.079017
5.894442,207.899994,5893.642090,35.299850,3.100000,0.005549
5.905178,204.614288,6826.152344,42.347084,2.385714,0.010736
5.946900,210.585709,6723.219238,41.623894,2.414286,0.041722
6.202191,204.157150,7073.433105,45.275291,2.842857,0.255291
6.222569,204.285721,6606.666992,41.611115,2.714286,0.020378
6.225721,207.100006,7101.705078,45.095337,2.900000,0.003152
6.332607,206.171432,6676.248047,42.224434,2.828571,0.106886
6.693929,213.314285,7136.565918,44.968254,1.685714,0.361321
7.033668,208.542862,7103.794922,44.941338,2.457143,0.339739
7.097966,204.771423,6687.354492,42.586212,3.228571,0.064298
7.168227,212.457138,6729.996582,41.689774,2.542857,0.070261
7.273461,202.228577,6733.936523,42.720444,2.771429,0.105234
7.471817,106.871429,2315.266602,24.868073,3.128572,0.198356
7.511198,91.000000,1235.547363,15.909996,4.000000,0.039381
8.100649,150.871429,3089.220215,26.442085,3.128572,0.589451
8.162497,100.514282,2121.726318,24.615234,2.485714,0.061848
8.207368,207.485718,6625.470703,41.779350,3.514286,0.044871
8.268006,131.942856,2713.513672,24.881325,3.057143,0.060638
8.386842,213.028564,6547.297363,40.240883,2.971429,0.118835
9.071618,209.100006,6549.146484,40.866806,2.900000,0.684776
9.297759,111.800003,2318.403564,24.415459,4.200000,0.226141
9.362123,204.985718,6692.266113,41.954002,3.014286,0.064364
9.482488,166.357147,3445.887207,25.861244,2.642857,0.120364
9.588339,209.642853,7038.736816,44.958336,2.357143,0.105851
9.590091,207.399994,6637.039551,41.739586,2.600000,0.001752
9.617228,151.000000,2961.311279,24.525826,3.000000,0.027137
9.944279,209.585709,7193.088867,45.167274,2.414286,0.327051
10.011723,206.914291,7088.600586,45.084450,3.085714,0.067444
10.076415,151.442856,3061.797607,25.462143,2.557143,0.064692
10.236909,217.242859,7055.018066,44.233894,3.757143,0.160494
10.786132,117.814285,2336.790771,23.704224,3.185714,0.549223
10.970933,119.428574,2395.012695,24.986534,3.571429,0.184801
11.337233,115.371429,2514.598389,25.927994,2.628572,0.366300
11.460093,208.942856,7010.914551,44.926392,3.057143,0.122860
11.751348,208.742859,6659.955566,41.396446,2.257143,0.291256
11.929317,212.042862,6640.990723,41.071671,2.957143,0.177969
12.200278,200.328568,6555.338379,41.624756,2.671429,0.270961
12.656340,206.071426,6477.227539,42.319443,2.928571,0.456061
12.881937,213.800003,6895.329590,43.165550,3.200000,0.225597
12.912125,206.785721,7015.662598,45.983459,3.214286,0.030188
12.924216,159.457138,3091.144287,24.428749,3.542857,0.012092
13.041690,206.557144,6838.187988,41.969551,2.442857,0.117474
13.250911,208.399994,6698.413574,42.339081,2.600000,0.209221
13.265466,212.157150,6577.496582,41.057465,2.842857,0.014555
13.446131,206.242859,6701.902344,42.230156,2.757143,0.180665
13.777015,211.528564,6777.844727,41.777550,2.471429,0.330884
13.972133,166.685715,3325.946289,25.565338,3.314286,0.195118
14.062525,213.714279,6719.263672,41.271118,3.285714,0.090392
14.064716,188.500000,3726.140869,25.820061,2.500000,0.002192
14.872159,203.585709,7051.326172,45.967087,3.414286,0.807443
15.010963,199.257141,6672.551758,42.605652,2.742857,0.138804
15.074310,211.671432,6680.531250,41.583885,2.328571,0.063347
15.260708,210.371429,7040.771484,45.217766,2.628572,0.186398
15.294154,222.928574,3664.197266,18.188560,3.071429,0.033446
15.316031,163.628571,3203.908447,24.726257,3.371428,0.021876
15.324873,205.300003,6758.604492,42.453896,2.700000,0.008842
15.516408,206.385712,6965.140625,45.439354,2.614286,0.191535
15.683022,204.171432,6624.639160,42.875557,2.828571,0.166614
15.757535,208.871429,7054.873535,43.703934,2.128572,0.074513
15.826571,144.514282,2865.578613,24.194450,3.485714,0.069036
16.244602,122.528572,2586.898926,25.368752,2.471429,0.418032
16.293373,205.928574,7122.173340,45.191673,3.071429,0.048771
16.342955,205.914291,7011.539551,44.792816,3.085714,0.049582
16.736095,204.814285,6557.678223,42.001999,3.185714,0.393141
16.748156,114.242859,2485.670898,25.070915,2.757143,0.012060
